epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0069,1.07145,2.5279,1.50623,0,0,0,0,0,39.7032,0,0,0,0
2,7.86316,0.89452,2.71656,1.32812,0,0,0,0,0,56.0325,0,1.63949e-05,1.63949e-05,1.63949e-05
3,11.8642,0.76272,2.26662,1.22943,0,0,0,0,0,119.043,0,3.22398e-05,3.22398e-05,3.22398e-05
4,15.9338,0.73868,1.78953,1.22816,0,0,0,0,0,252.546,0,4.75345e-05,4.75345e-05,4.75345e-05
5,20.0308,0.5962,0.9678,1.11801,0,0,0,0,0,406.578,0,6.22791e-05,6.22791e-05,6.22791e-05
6,24.0756,0.37828,0.88643,0.94343,0,0,0,0,0,519.749,0,7.64736e-05,7.64736e-05,7.64736e-05
7,28.1027,0.65361,1.14304,1.20291,0,0,0,0,0,550.549,0,9.0118e-05,9.0118e-05,9.0118e-05
8,32.0924,0.46721,0.82793,1.07339,0,0,0,0,0,508.98,0,0.000103212,0.000103212,0.000103212
9,35.9403,0.43521,0.8041,1.03074,0,0,0,0,0,508.98,0,0.000115756,0.000115756,0.000115756
10,40.0652,0.57516,0.96942,1.23356,0,0,0,0,0,403.617,0,0.000127751,0.000127751,0.000127751
11,44.2051,0.55497,1.03678,1.04288,0,0,0,0,0,403.617,0,0.000139195,0.000139195,0.000139195
12,48.3276,0.63196,0.86238,1.07501,0,0,0,0,0,488.613,0,0.000150088,0.000150088,0.000150088
13,52.2462,0.62056,0.9916,1.06009,0,0,0,0,0,488.613,0,0.000160432,0.000160432,0.000160432
14,56.4893,0.46226,0.82323,1.01668,0,0,0,0,0,569.913,0,0.000170226,0.000170226,0.000170226
15,60.6828,0.51966,0.79337,0.9922,0,0,0,0,0,569.913,0,0.000179469,0.000179469,0.000179469
16,64.7586,0.59987,0.89777,1.21704,0,0,0,0,0,460.533,0,0.000188163,0.000188163,0.000188163
17,68.8977,0.56409,0.57486,1.04779,0,0,0,0,0,460.533,0,0.000196306,0.000196306,0.000196306
18,73.104,0.70507,0.8922,1.19646,0,0,0,0,0,324.091,0,0.000203899,0.000203899,0.000203899
19,77.1942,0.47708,0.7595,0.92862,0,0,0,0,0,324.091,0,0.000210942,0.000210942,0.000210942
20,81.4955,0.5242,0.70267,1.06074,0,0,0,0,0,333.378,0,0.000217435,0.000217435,0.000217435
21,85.565,0.68936,0.69994,1.16562,0,0,0,0,0,333.378,0,0.000223378,0.000223378,0.000223378
22,89.5745,0.44651,0.85155,1.01012,0,0,0,0,0,312.585,0,0.000228771,0.000228771,0.000228771
23,93.5882,0.53414,0.62414,0.95569,0,0,0,0,0,312.585,0,0.000233613,0.000233613,0.000233613
24,97.663,0.585,0.66149,1.02721,0,0,0,0,0,312.585,0,0.000237906,0.000237906,0.000237906
25,101.855,0.43089,0.54359,1.0182,0,0,0,0,0,190.252,0,0.000241648,0.000241648,0.000241648
26,105.867,0.54742,0.58597,0.92739,0,0,0,0,0,190.252,0,0.000244841,0.000244841,0.000244841
27,109.667,0.50219,0.56583,1.02662,0,0,0,0,0,190.252,0,0.000247483,0.000247483,0.000247483
28,113.766,0.55369,0.5968,1.05527,0,0,0,0,0,117.071,0,0.000249575,0.000249575,0.000249575
