epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55534,1.07145,2.5279,1.50623,0.8672,0.77778,0.82643,0.81863,0.15219,1.7208,0.66738,0,0,0
2,7.27525,0.89452,2.71656,1.32812,0.98602,0.77778,0.87509,0.84655,0.14688,1.37562,0.66214,1.63949e-05,1.63949e-05,1.63949e-05
3,11.0701,0.76272,2.26662,1.22943,0.88786,0.88063,0.91992,0.91185,0.15443,1.13638,0.66,3.22398e-05,3.22398e-05,3.22398e-05
4,14.9048,0.73868,1.78953,1.22816,0.99115,0.88889,0.975,0.975,0.16111,1.20366,0.6637,4.75345e-05,4.75345e-05,4.75345e-05
5,18.666,0.5962,0.9678,1.11801,1,0.99931,0.995,0.98313,0.1962,1.53158,0.67589,6.22791e-05,6.22791e-05,6.22791e-05
6,22.531,0.37828,0.88643,0.94343,0.97085,1,0.995,0.98372,0.21398,1.70653,0.6875,7.64736e-05,7.64736e-05,7.64736e-05
7,26.2715,0.65361,1.14304,1.20291,0.96857,1,0.995,0.98461,0.22233,1.59054,0.67341,9.0118e-05,9.0118e-05,9.0118e-05
8,30.0179,0.46721,0.82793,1.07339,0.92994,1,0.995,0.97073,0.24685,1.32975,0.6665,0.000103212,0.000103212,0.000103212
9,33.5717,0.43521,0.8041,1.03074,0.92994,1,0.995,0.97073,0.24685,1.32975,0.6665,0.000115756,0.000115756,0.000115756
10,37.2093,0.57516,0.96942,1.23356,0.89439,1,0.973,0.88865,0.30172,1.8048,0.69952,0.000127751,0.000127751,0.000127751
11,40.8253,0.55497,1.03678,1.04288,0.89439,1,0.973,0.88865,0.30172,1.8048,0.69952,0.000139195,0.000139195,0.000139195
12,44.5623,0.63196,0.86238,1.07501,0.74902,1,0.94306,0.8171,0.5517,1.88819,0.96148,0.000150088,0.000150088,0.000150088
13,48.2507,0.62056,0.9916,1.06009,0.74902,1,0.94306,0.8171,0.5517,1.88819,0.96148,0.000160432,0.000160432,0.000160432
14,51.9923,0.46226,0.82323,1.01668,0.7467,0.98386,0.95528,0.79912,0.64028,2.27858,1.09553,0.000170226,0.000170226,0.000170226
15,55.6705,0.51966,0.79337,0.9922,0.7467,0.98386,0.95528,0.79912,0.64028,2.27858,1.09553,0.000179469,0.000179469,0.000179469
16,59.3427,0.59987,0.89777,1.21704,0.78972,1,0.96278,0.80325,0.64807,1.98716,1.10638,0.000188163,0.000188163,0.000188163
17,62.9097,0.56409,0.57486,1.04779,0.78972,1,0.96278,0.80325,0.64807,1.98716,1.10638,0.000196306,0.000196306,0.000196306
18,66.5562,0.70507,0.8922,1.19646,0.81346,1,0.973,0.94439,0.28858,1.36549,0.69454,0.000203899,0.000203899,0.000203899
19,70.2143,0.47708,0.7595,0.92862,0.81346,1,0.973,0.94439,0.28858,1.36549,0.69454,0.000210942,0.000210942,0.000210942
20,74.0375,0.5242,0.70267,1.06074,0.97476,1,0.995,0.91272,0.3383,1.07614,0.73169,0.000217435,0.000217435,0.000217435
21,77.639,0.68936,0.69994,1.16562,0.97476,1,0.995,0.91272,0.3383,1.07614,0.73169,0.000223378,0.000223378,0.000223378
22,81.3088,0.44651,0.85155,1.01012,0.89739,0.97387,0.951,0.80382,0.50162,1.75581,0.81771,0.000228771,0.000228771,0.000228771
23,84.8222,0.53414,0.62414,0.95569,0.89739,0.97387,0.951,0.80382,0.50162,1.75581,0.81771,0.000233613,0.000233613,0.000233613
24,88.5273,0.585,0.66149,1.02721,0.89739,0.97387,0.951,0.80382,0.50162,1.75581,0.81771,0.000237906,0.000237906,0.000237906
25,92.3124,0.43089,0.54359,1.0182,0.79684,0.88889,0.89737,0.69646,0.56787,1.68589,0.87446,0.000241648,0.000241648,0.000241648
26,96.0843,0.54742,0.58597,0.92739,0.79684,0.88889,0.89737,0.69646,0.56787,1.68589,0.87446,0.000244841,0.000244841,0.000244841
27,99.8479,0.50219,0.56583,1.02662,0.79684,0.88889,0.89737,0.69646,0.56787,1.68589,0.87446,0.000247483,0.000247483,0.000247483
28,103.68,0.55369,0.5968,1.05527,0.88786,0.88889,0.95056,0.78539,0.59637,1.05347,0.96052,0.000249575,0.000249575,0.000249575
29,107.421,1.00727,1.18238,1.49373,0.88786,0.88889,0.95056,0.78539,0.59637,1.05347,0.96052,0.000251117,0.000251117,0.000251117
30,111.411,0.52323,0.74339,1.10551,0.88786,0.88889,0.95056,0.78539,0.59637,1.05347,0.96052,0.000252109,0.000252109,0.000252109
31,115.332,0.34583,0.55469,0.92677,0.99676,0.88889,0.984,0.87807,0.4825,0.78967,0.86694,0.00025255,0.00025255,0.00025255
32,119.199,0.60722,0.80216,1.02001,0.99676,0.88889,0.984,0.87807,0.4825,0.78967,0.86694,0.000252442,0.000252442,0.000252442
33,123.291,0.4992,0.72788,0.98238,0.99676,0.88889,0.984,0.87807,0.4825,0.78967,0.86694,0.000251784,0.000251784,0.000251784
34,127.277,0.4439,0.58884,0.95654,1,0.99677,0.995,0.8594,0.57242,0.86732,0.92496,0.000250575,0.000250575,0.000250575
35,131.253,0.45629,0.55815,0.96645,1,0.99677,0.995,0.8594,0.57242,0.86732,0.92496,0.000248816,0.000248816,0.000248816
36,135.251,0.63668,0.66191,1.15831,1,0.99677,0.995,0.8594,0.57242,0.86732,0.92496,0.000246508,0.000246508,0.000246508
37,139.263,0.43529,0.59351,1.01335,1,0.99677,0.995,0.8594,0.57242,0.86732,0.92496,0.000243649,0.000243649,0.000243649
38,143.299,0.41003,0.49471,0.95884,0.99354,1,0.995,0.90662,0.38132,0.77135,0.81532,0.00024024,0.00024024,0.00024024
39,147.344,0.47008,0.53757,0.95453,0.99354,1,0.995,0.90662,0.38132,0.77135,0.81532,0.000236281,0.000236281,0.000236281
40,151.53,0.58096,0.52548,1.10569,0.99354,1,0.995,0.90662,0.38132,0.77135,0.81532,0.000231771,0.000231771,0.000231771
41,155.612,0.56734,0.66869,1.11852,0.99354,1,0.995,0.90662,0.38132,0.77135,0.81532,0.000226712,0.000226712,0.000226712
42,159.751,0.44296,0.47489,0.88451,0.99278,1,0.995,0.95946,0.33024,0.53514,0.8297,0.000221103,0.000221103,0.000221103
43,163.819,0.575,0.56064,1.18092,0.99278,1,0.995,0.95946,0.33024,0.53514,0.8297,0.000214943,0.000214943,0.000214943
44,167.891,0.53606,0.64741,1.08245,0.99278,1,0.995,0.95946,0.33024,0.53514,0.8297,0.000208233,0.000208233,0.000208233
45,171.961,0.46206,0.45764,0.97596,0.99278,1,0.995,0.95946,0.33024,0.53514,0.8297,0.000200974,0.000200974,0.000200974
46,176.233,0.418,0.51614,0.98561,0.99428,1,0.995,0.96518,0.31747,0.43762,0.82086,0.000193164,0.000193164,0.000193164
47,180.36,0.61171,0.72053,1.22571,0.99428,1,0.995,0.96518,0.31747,0.43762,0.82086,0.000184804,0.000184804,0.000184804
48,184.434,0.49928,0.56973,1.03505,0.99428,1,0.995,0.96518,0.31747,0.43762,0.82086,0.000175894,0.000175894,0.000175894
49,188.504,0.40233,0.46677,0.98978,0.99428,1,0.995,0.96518,0.31747,0.43762,0.82086,0.000166433,0.000166433,0.000166433
50,192.658,0.50309,0.53603,1.01611,0.99062,1,0.995,0.95313,0.28917,0.40402,0.81151,0.000156423,0.000156423,0.000156423
51,196.741,0.31658,0.52162,0.97439,0.99062,1,0.995,0.95313,0.28917,0.40402,0.81151,0.000145862,0.000145862,0.000145862
52,200.908,0.49989,0.60375,1.03307,0.99062,1,0.995,0.95313,0.28917,0.40402,0.81151,0.000134752,0.000134752,0.000134752
53,205.014,0.33045,0.54316,0.86765,0.99062,1,0.995,0.95313,0.28917,0.40402,0.81151,0.000123091,0.000123091,0.000123091
54,209.153,0.32511,0.53281,0.97531,0.99062,1,0.995,0.95313,0.28917,0.40402,0.81151,0.000110881,0.000110881,0.000110881
55,213.341,0.44603,0.57254,1.09163,0.99114,1,0.995,0.95226,0.27308,0.38036,0.79853,9.81196e-05,9.81196e-05,9.81196e-05
56,217.478,0.47985,0.57455,1.05717,0.99114,1,0.995,0.95226,0.27308,0.38036,0.79853,8.48086e-05,8.48086e-05,8.48086e-05
57,221.631,0.32345,0.43727,0.89524,0.99114,1,0.995,0.95226,0.27308,0.38036,0.79853,7.09475e-05,7.09475e-05,7.09475e-05
58,225.804,0.28193,0.45936,0.90241,0.99114,1,0.995,0.95226,0.27308,0.38036,0.79853,5.65363e-05,5.65363e-05,5.65363e-05
59,230.139,0.30297,0.46145,0.84505,0.99114,1,0.995,0.95226,0.27308,0.38036,0.79853,4.1575e-05,4.1575e-05,4.1575e-05
60,234.521,0.42001,0.52593,0.90169,0.99284,1,0.995,0.96285,0.26434,0.3671,0.78156,2.60635e-05,2.60635e-05,2.60635e-05
